,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7
0,new,covid,patient,india,johnson,got,vaccine
1,coronavirus,year,hospital,like,boris,pfizer,appointment
2,case,restriction,oxygen,look,alize,shot,dos
3,health,relief,bed,help,tory,second,passport
4,vaccination,test,icu,donate,dwayne,moderna,getting
5,jab,think,cylinder,crisis,prime,dose,effective
6,pandemic,time,delhi,country,flat,arm,available
7,death,stop,level,feel,think,sore,card
8,april,day,help,strain,john,week,clinic
9,apr,death,need,world,game,hour,eligible
